Wavelength (nm),Pk12eV10C_n,Pk12eV10C_k
482,2.475465,0.955594
483,2.479045,0.953264
484,2.481917375,0.95066175
485,2.4848294,0.9482244
486,2.4880174,0.9462424
487,2.491669,0.944132
488,2.49534825,0.941789375
489,2.4986745,0.93864625
490,2.501407125,0.935841
491,2.503744,0.933261
492,2.506434625,0.931491
493,2.50939825,0.9296255
494,2.512771375,0.92761675
495,2.515761,0.925374
496,2.5187625,0.92319675
497,2.522195,0.9215155
498,2.5257535,0.9190325
499,2.529396,0.916015
500,2.53169475,0.9135425
501,2.5344708,0.911177933
502,2.5379628,0.908975267
503,2.540554687,0.906235
504,2.543020875,0.90384375
505,2.545427125,0.90240625
506,2.548548688,0.900652
507,2.55191625,0.898740812
508,2.55473875,0.896638938
509,2.5577375,0.894830188
510,2.5609125,0.893314563
511,2.564755187,0.891465375
512,2.568630625,0.8892615
513,2.572409375,0.8863165
514,2.5753875,0.883358813
515,2.578005125,0.880479312
516,2.580466375,0.878352438
517,2.583215667,0.876353
518,2.586253,0.874481
519,2.589466125,0.87274475
520,2.5927895,0.87101175
521,2.59627825,0.869283625
522,2.6002355,0.867348
523,2.604302,0.865178375
524,2.608337,0.86228025
525,2.611979,0.859318
526,2.615359,0.856313
527,2.6187415,0.853293
528,2.62183475,0.8501645
529,2.624494125,0.84687325
530,2.626813,0.8445485
531,2.629348133,0.842526267
532,2.6330888,0.8407476
533,2.63694975,0.838440375
534,2.640835312,0.835869813
535,2.644478438,0.832967937
536,2.6480425,0.83002825
537,2.6515275,0.82705075
538,2.655005188,0.824004063
539,2.658461625,0.820885375
540,2.661870375,0.817616625
541,2.665105875,0.814243313
542,2.668235062,0.810833437
543,2.671075688,0.807497813
544,2.673880375,0.804335
545,2.676649125,0.801345
546,2.679680563,0.79853275
547,2.6829318,0.7956226
548,2.6866278,0.792437933
549,2.6901115,0.7889605
550,2.6934505,0.785401
551,2.696423,0.781806
552,2.6994675,0.77831075
553,2.70256,0.774882
554,2.705605,0.77103075
555,2.708418,0.76725
556,2.710883,0.763575
557,2.7136835,0.7603175
558,2.71665,0.757016375
559,2.719945,0.75312325
560,2.722703,0.749050125
561,2.725103,0.744857
562,2.727551667,0.741268333
563,2.730266,0.737738062
564,2.733246,0.734266187
565,2.736089875,0.730340938
566,2.738865188,0.726401688
567,2.741515812,0.722547313
568,2.744350625,0.718572187
569,2.747239187,0.714494562
570,2.749901062,0.709960188
571,2.752302625,0.705450812
572,2.754443875,0.700966437
573,2.756497937,0.696735187
574,2.7586258,0.6924706
575,2.760948467,0.6880626
